logged_at,forecast_updated,rainfall_updated,areas_total,areas_forecast_rain,gauges_total,gauges_wet
2026-07-11T04:55:31+08:00,2026-07-11T04:36:13+08:00,2026-07-11T04:45:00+08:00,47,0,77,0
2026-07-11T06:12:43+08:00,2026-07-11T06:05:37+08:00,2026-07-11T06:05:00+08:00,47,0,77,0
2026-07-11T07:16:29+08:00,2026-07-11T07:06:33+08:00,2026-07-11T07:10:00+08:00,47,0,77,0
2026-07-11T08:13:29+08:00,2026-07-11T08:06:28+08:00,2026-07-11T08:05:00+08:00,47,0,77,0
2026-07-11T11:46:54+08:00,2026-07-11T11:41:37+08:00,2026-07-11T11:40:00+08:00,47,20,77,0
2026-07-11T14:02:55+08:00,2026-07-11T14:01:38+08:00,2026-07-11T13:55:00+08:00,47,36,77,4
2026-07-11T16:08:55+08:00,2026-07-11T16:06:29+08:00,2026-07-11T16:00:00+08:00,47,0,77,0
2026-07-11T17:51:46+08:00,2026-07-11T17:46:33+08:00,2026-07-11T17:45:00+08:00,47,2,77,0
2026-07-11T18:49:02+08:00,2026-07-11T18:46:26+08:00,2026-07-11T18:40:00+08:00,47,9,77,0
2026-07-11T19:39:18+08:00,2026-07-11T19:36:28+08:00,2026-07-11T19:30:00+08:00,47,19,77,4
2026-07-11T20:42:00+08:00,2026-07-11T20:36:28+08:00,2026-07-11T20:35:00+08:00,47,34,77,0
2026-07-11T22:13:49+08:00,2026-07-11T22:11:12+08:00,2026-07-11T22:05:00+08:00,47,0,77,0
2026-07-11T23:26:06+08:00,2026-07-11T23:06:33+08:00,2026-07-11T23:15:00+08:00,47,0,77,0
2026-07-12T00:29:37+08:00,2026-07-12T00:06:28+08:00,2026-07-12T00:20:00+08:00,47,0,77,0
2026-07-12T01:34:37+08:00,2026-07-12T01:06:13+08:00,2026-07-12T01:25:00+08:00,47,0,77,0
2026-07-12T02:31:06+08:00,2026-07-12T02:06:45+08:00,2026-07-12T02:20:00+08:00,47,0,77,0
2026-07-12T03:46:35+08:00,2026-07-12T03:37:25+08:00,2026-07-12T03:30:00+08:00,47,0,75,0
2026-07-12T04:32:38+08:00,2026-07-12T04:06:28+08:00,2026-07-12T04:25:00+08:00,47,0,77,0
2026-07-12T05:27:20+08:00,2026-07-12T05:06:36+08:00,2026-07-12T05:20:00+08:00,47,0,77,0
2026-07-12T06:27:26+08:00,2026-07-12T06:06:28+08:00,2026-07-12T06:20:00+08:00,47,0,77,0
2026-07-12T07:32:54+08:00,2026-07-12T07:07:18+08:00,2026-07-12T07:25:00+08:00,47,0,77,0
2026-07-12T09:08:42+08:00,2026-07-12T09:06:38+08:00,2026-07-12T09:00:00+08:00,47,5,77,0
2026-07-12T12:43:16+08:00,2026-07-12T12:41:29+08:00,2026-07-12T12:35:00+08:00,47,38,77,13
2026-07-12T15:19:07+08:00,2026-07-12T15:06:33+08:00,2026-07-12T15:10:00+08:00,47,26,77,2
2026-07-12T17:20:47+08:00,2026-07-12T17:06:29+08:00,2026-07-12T17:10:00+08:00,47,0,77,0
2026-07-12T18:48:12+08:00,2026-07-12T18:36:38+08:00,2026-07-12T18:40:00+08:00,47,0,77,0
2026-07-12T19:47:05+08:00,2026-07-12T19:36:35+08:00,2026-07-12T19:40:00+08:00,47,0,77,0
2026-07-12T20:41:36+08:00,2026-07-12T20:36:28+08:00,2026-07-12T20:35:00+08:00,47,0,77,0
2026-07-12T22:18:32+08:00,2026-07-12T22:06:28+08:00,2026-07-12T22:10:00+08:00,47,0,77,0
2026-07-12T23:28:51+08:00,2026-07-12T23:06:45+08:00,2026-07-12T23:20:00+08:00,47,0,77,0
2026-07-13T00:31:27+08:00,2026-07-13T00:06:28+08:00,2026-07-13T00:20:00+08:00,47,0,77,0
2026-07-13T01:37:12+08:00,2026-07-13T01:36:28+08:00,2026-07-13T01:30:00+08:00,47,0,77,0
2026-07-13T02:33:01+08:00,2026-07-13T02:06:29+08:00,2026-07-13T02:25:00+08:00,47,0,77,0
2026-07-13T03:44:19+08:00,2026-07-13T03:37:22+08:00,2026-07-13T03:35:00+08:00,47,0,77,0
2026-07-13T04:32:19+08:00,2026-07-13T04:06:35+08:00,2026-07-13T04:25:00+08:00,47,0,77,0
2026-07-13T05:27:27+08:00,2026-07-13T05:06:28+08:00,2026-07-13T05:20:00+08:00,47,0,77,0
2026-07-13T06:27:43+08:00,2026-07-13T06:06:43+08:00,2026-07-13T06:20:00+08:00,47,0,77,0
